BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct,Lift_at_1pct
"Mediterranean Forests, Woodlands & Scrub",1,598143,2381,0.3981,0.4612,0.0732,18.4
N/A,1,3609,2040,56.5254,0.7533,1.0,1.77
Tropical & Subtropical Moist Broadleaf Forests,41,16852053,150459,0.8928,0.85,0.2631,29.46
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,11868861,16752,0.1411,0.8878,0.0717,50.83
Mangroves,3,96634,1869,1.9341,0.9243,0.2505,12.95
Tropical & Subtropical Dry Broadleaf Forests,10,4147799,20948,0.505,0.9299,0.2755,54.54
Montane Grasslands & Shrublands,7,2571166,36436,1.4171,0.9402,0.6358,44.87
Flooded Grasslands & Savannas,1,694428,486,0.07,0.9416,0.0526,75.11
Temperate Broadleaf & Mixed Forests,2,1507741,117685,7.8054,0.9647,0.9633,12.34
Deserts & Xeric Shrublands,3,1197205,1642,0.1372,0.9792,0.0676,49.27
"Temperate Grasslands, Savannas & Shrublands",3,7860915,6895,0.0877,0.9993,0.0874,99.59
